"gene","CLIC_score"
"FAM138A",0.565981914135943
"OR4F5",0.432526766044333
"OR4F29",0.407862263234948
"OR4F16",0.407862263234948
"FAM87B",0.216364746110433
"LINC01128",0.285367738423873
"LINC00115",-0.0371966635094528
"FAM41C",0.00939363508068513
"LINC02593",0.50839969213063
"SAMD11",0.677730621026716
"NOC2L",0.228525382770577
"KLHL17",-0.000502367726524635
"PLEKHN1",0.593660896019352
"PERM1",0.75812893985442
"HES4",0.584319525780221
"ISG15",-0.0324578253102879
"AGRN",0.662043240253057
"RNF223",0.394575735225545
"C1orf159",0.515497234872877
"LINC01342",0.620848339950505
"TTLL10",0.455190232913425
"TNFRSF18",0.400390830891558
"TNFRSF4",0.28302157842879
"SDF4",0.158301514443409
"B3GALT6",0.000713358476137995
"C1QTNF12",0.65615428224793
"UBE2J2",0.0356729073309812
"SCNN1D",0.242188617332005
"ACAP3",0.190045139876069
"PUSL1",-0.0770535683569709
"INTS11",0.152682960081515
"CPTP",-0.325232442734067
"TAS1R3",0.322585353017072
"DVL1",0.0459695150134896
"MXRA8",0.715887350192273
"AURKAIP1",-0.0602438384447859
"CCNL2",-0.149757643675889
"MRPL20-AS1",-0.0741142177557108
"MRPL20",0.044420805483437
"ANKRD65",0.557899080378584
"TMEM88B",0.0104946737918042
"LINC01770",0.103148593578509
"VWA1",0.419526975237852
"ATAD3C",0.287191355145627
"ATAD3B",0.143732806016773
"ATAD3A",0.0590062148194521
"TMEM240",0.378061418878721
"SSU72",0.173028761161359
"FNDC10",0.342317254099177
"MIB2",0.146174275245503
"MMP23B",0.291464159169689
"CDK11B",0.101166455547892
"SLC35E2B",-0.0331260223590235
"CDK11A",0.394646853345685
"SLC35E2A",0.100722741601017
"NADK",0.602369789800972
"GNB1",0.50798962697551
"CALML6",0.224378874153355
"TMEM52",0.376628570588758
"CFAP74",0.450827827035557
"GABRD",0.359159620489304
"PRKCZ",0.736027411980328
"PRKCZ-AS1",0.0413451440841961
"FAAP20",0.295647677070896
"SKI",0.417611553061497
"MORN1",-0.0346805807356926
"RER1",0.0491830417249155
"PEX10",0.167078573073258
"PLCH2",0.120864694951302
"PANK4",0.255790732233227
"HES5",0.124142434347405
"TNFRSF14-AS1",0.636829073907384
"TNFRSF14",0.668873146255564
"PRXL2B",0.404439992426376
"MMEL1",0.33447399793449
"TTC34",0.91262744943667
"ACTRT2",0.104241972973416
"PRDM16-DT",0.446660653564455
"PRDM16",0.350815241222114
"ARHGEF16",0.722198734008386
"MEGF6",0.479340626525212
"TPRG1L",-0.171085358736013
"WRAP73",0.244962686429546
"TP73",0.548256616310383
"CCDC27",0.0591339146147387
"SMIM1",0.148010701837714
"LRRC47",0.0770760586092862
"CEP104",0.370419321644799
"DFFB",0.280627712805796
"C1orf174",-0.117335257371499
"LINC01134",-0.0393006838393211
"LINC01346",0.0862161066462113
"LINC01345",0.16030242163019
"LINC01777",0.15995354201483
"LINC01646",0.288470795512136
"AJAP1",0.398809949343979
"NPHP4",0.221535370644403
"KCNAB2",0.320021417404623
"CHD5",0.571745042431616
"RPL22",0.0796796853773296
"RNF207",0.543233341990007
"ICMT",0.33117484017941
"LINC00337",0.105089510040745
"HES3",0.0798650654384136
"GPR153",0.695554353031728
"ACOT7",0.458309242515382
"HES2",0.665276714052257
"ESPN",0.626854253609024
"TNFRSF25",0.234578736064916
"PLEKHG5",0.341069965438876
"NOL9",0.221360908656096
"TAS1R1",0.136090050171091
"ZBTB48",-0.011950719089888
"KLHL21",0.317390396297031
"PHF13",0.239291850833353
"THAP3",0.354373535478132
"DNAJC11",0.236163106951657
"LINC01672",0.0116201988518607
"CAMTA1-DT",0.135896167284545
"CAMTA1",0.25624918293718
"VAMP3",0.0893173693267788
"PER3",0.427959241949571
"UTS2",0.00898142989580501
"TNFRSF9",0.118321832232965
"PARK7",0.161184988430156
"ERRFI1",0.121478030752381
"LINC01714",0.568629984982288
"SLC45A1",0.342890102827671
"RERE",0.0482775466775749
"RERE-AS1",0.197754324129511
"ENO1",0.42594611400257
"ENO1-AS1",0.0840368924072186
"CA6",0.172943467358522
"SLC2A7",0.199052584862944
"SLC2A5",0.533251473736312
"GPR157",0.493390128225616
"MIR34AHG",0.643459183977389
"LNCTAM34A",0.285956094530949
"H6PD",0.630836151689241
"SPSB1",0.427536612347545
"LINC02606",0.261153820898584
"SLC25A33",0.521243498364434
"TMEM201",0.0885754436407198
"PIK3CD",0.371599346754267
"PIK3CD-AS1",0.41068225287118
"PIK3CD-AS2",0.179672525865508
"CLSTN1",0.729137271476996
"CTNNBIP1",0.574364104344928
"LZIC",-0.0421964643605772
"NMNAT1",0.0700679975994221
"RBP7",0.512093900651504
"UBE4B",0.0490394897106712
"KIF1B",0.387742079466838
"PGD",0.50639915525498
"CENPS",-0.133832534871046
"CORT",0.141449976884824
"DFFA",0.232924801378238
"PEX14",0.521044631568803
"CASZ1",0.805408827574346
"C1orf127",0.209910755326602
"TARDBP",0.287894131468797
"MASP2",0.823449304262273
"SRM",0.223359141531871
"EXOSC10",0.174268311921477
"EXOSC10-AS1",-0.1172139499741
"MTOR",-0.0530239457554211
"MTOR-AS1",0.261480748090044
"ANGPTL7",-0.0618692660921087
"UBIAD1",-0.0481287546377879
"DISP3",0.39720146082378
"LINC01647",0.591121182613612
"FBXO2",0.618994359469701
"FBXO44",0.469912318063454
"FBXO6",0.182351564033071
"MAD2L2",0.29937745961113
"DRAXIN",0.168952131058945
"AGTRAP",0.445288221511799
"C1orf167",0.145436339929374
"MTHFR",0.349139760334461
"CLCN6",0.0926004795147793
"NPPA",0.581367240238434
"NPPB",0.504730396550626
"KIAA2013",0.127846526597701
"PLOD1",0.434537473714083
"MFN2",0.510875346574655
"MIIP",0.152819992469318
"TNFRSF8",0.254860123230411
"TNFRSF1B",0.735671414813676
"VPS13D",0.141938560065703
"DHRS3",0.286644127270829
"AADACL4",0.132051410069592
"AADACL3",0.350751640937828
"C1orf158",0.334430327359705
"PRAMEF12",0.27301126859539
"PRAMEF1",0.203320991256659
"LINC01784",0.163621501346336
"PRAMEF11",0.22777579747235
"HNRNPCL1",0.106549639246729
"PRAMEF2",0.125344021560158
"PRAMEF4",0.565810500685541
"PRAMEF10",0.362935166372733
"PRAMEF7",0.545526315162858
"PRAMEF6",0.860924971326729
"PRAMEF27",0.524690481294904
"HNRNPCL3",0.443634085068797
"PRAMEF25",0.63109139909486
"HNRNPCL2",0.61595467208524
"PRAMEF26",0.631232728035664
"HNRNPCL4",0.554939537369821
"PRAMEF9",0.488672283442617
"PRAMEF13",0.290280873224682
"PRAMEF18",0.0384063354465514
"PRAMEF5",0.0595485000103686
"PRAMEF8",0.31741371679443
"PRAMEF33",0.451318955814569
"PRAMEF15",0.523911573117607
"PRAMEF14",0.41682417900499
"PRAMEF19",0.427688014590993
"PRAMEF17",0.155212008322595
"PRAMEF20",0.156226092046716
"LRRC38",0.840475309294657
"PDPN",0.678814701419154
"PRDM2",0.415589757957581
"KAZN",0.250133893439115
"KAZN-AS1",0.212024059400379
"TMEM51-AS1",0.32743102733447
"TMEM51",0.663752976839768
"C1orf195",0.525287102615051
"FHAD1",0.213219343782417
"EFHD2",0.619480759783972
"CTRC",0.580596694282524
"CELA2A",0.75533906545257
"CELA2B",0.686694838014238
"CASP9",0.227966660834474
"DNAJC16",-0.0981589357374643
"AGMAT",0.406423019526014
"DDI2",0.111490003575517
"RSC1A1",0.165214250999986
"PLEKHM2",0.38112072541606
"SLC25A34",0.686997565093871
"SLC25A34-AS1",0.342917782669366
"TMEM82",0.487006768406771
"FBLIM1",0.616588124667189
"UQCRHL",-0.0118083983108234
"SPEN",0.0127683429951502
"ZBTB17",0.209621535621848
"SRARP",0.120862062963341
"HSPB7",0.468992642925926
"CLCNKA",0.253394546969852
"CLCNKB",0.221699746593532
"FAM131C",0.636638127651257
"EPHA2",0.614475012051952
"ARHGEF19",0.32414774223177
"CPLANE2",0.0768284943469117
"FBXO42",-0.128214813106472
"SZRD1",0.138322860878389
"SPATA21",0.0418907666375802
"NECAP2",0.345048453005805
"LINC01772",0.101649244190819
"LINC01783",0.356699385132485
"NBPF1",0.477243081040054
"CROCC",0.599087895956401
"MFAP2",0.760581200779519
"ATP13A2",0.15722871156
"SDHB",0.0763260897508124
"PADI2",0.782306318319875
"LINC02783",0.415120155101623
"PADI1",0.210384703406072
"PADI3",0.457073685506017
"PADI4",0.1507270982065
"PADI6",0.121455766881201
"RCC2",0.275208179686842
"ARHGEF10L",0.813555476008914
"ACTL8",-0.0265814744666913
"LINC01654",0.164592547352948
"IGSF21",0.522542685405496
"KLHDC7A",0.494926454255662
"PAX7",0.688459173757634
"TAS1R2",0.471256150482756
"ALDH4A1",0.493474368639515
"IFFO2",0.443853307080314
"UBR4",0.195208688303253
"EMC1-AS1",-0.158620641325112
"EMC1",-0.0146929561547329
"MRTO4",0.0664141705505171
"AKR7A3",0.639349162075171
"AKR7A2",0.100275171893778
"SLC66A1",0.0102783979823029
"CAPZB",0.463934616905105
"MICOS10",0.322942088684485
"NBL1",0.77483385143087
"HTR6",0.0912455679310947
"TMCO4",0.570729367867468
"RNF186",0.682983909733691
"OTUD3",0.330684643949802
"PLA2G2E",-0.0387195439134316
"PLA2G2A",0.569341078737015
"PLA2G5",0.644147758962361
"PLA2G2D",0.0599007188526787
"PLA2G2F",0.647305619447804
"PLA2G2C",0.269209932588102
"UBXN10",0.531427297315102
"LINC01757",0.0279420495388763
"VWA5B1",0.297962200524526
"LINC01141",0.351768937606276
"CAMK2N1",0.627399242312941
"MUL1",-0.11021371220475
"FAM43B",0.743814208473196
"CDA",0.777582861879734
"PINK1",0.564389722439455
"PINK1-AS",0.0950613191900495
"DDOST",-0.113313114139193
"KIF17",0.377781345669783
"SH2D5",0.797037608888457
"HP1BP3",0.349861686220195
"EIF4G3",0.167620966975704
"ECE1",0.651139104672967
"NBPF3",0.627867162532872
"ALPL",0.703259808975828
"RAP1GAP",0.769822671650444
"USP48",0.182994935684286
"LDLRAD2",0.27269508685313
"HSPG2",0.655754283396774
"CELA3B",0.688941602290753
"CELA3A",0.788849989034255
"LINC01635",-0.16546131590216
"LINC00339",-0.192021231857347
"CDC42",0.14711603333347
"WNT4",0.519809512455904
"ZBTB40",0.277123783470036
"EPHA8",0.686593155040996
"C1QA",0.478737835673618
"C1QC",0.459509048873882
"C1QB",0.57138495345856
"EPHB2",0.757466315950038
"LACTBL1",0.101840643997625
"TEX46",0.293387133070426
"KDM1A",-0.0503685485514682
"LUZP1",0.546443511058624
"HTR1D",0.423070927601517
"LINC01355",0.13442216810525
"HNRNPR",0.404599387041496
"ZNF436",0.105666778216813
"ZNF436-AS1",0.379097232512841
"TCEA3",0.780196846657063
"ASAP3",0.675254307830704
"E2F2",0.235800517242155
"ID3",0.63465437296812
"MDS2",0.152439254320797
"RPL11",-0.0716361018141745
"ELOA-AS1",-0.0551993880818568
"ELOA",0.479810349624268
"PITHD1",0.0996349227315144
"LYPLA2",0.297281687787199
"GALE",0.634863711089985
"HMGCL",0.178959039570026
"FUCA1",0.234083481409936
"CNR2",0.242542469426779
"PNRC2",0.206191497358244
"SRSF10",0.249093517949175
"MYOM3",0.802976837374067
"IL22RA1",0.795800555391563
"IFNLR1",0.795787828379267
"LINC02800",0.348635097017061
"GRHL3",0.137144116562074
"STPG1",0.473036879305765
"NIPAL3",0.708164929184542
"RCAN3AS",0.534453387987991
"RCAN3",0.628673604689579
"NCMAP-DT",0.298187093708828
"NCMAP",0.725181534097673
"SRRM1",0.152748337993511
"CLIC4",0.707108588769593
"RUNX3",0.683439074048887
"SYF2",0.158074001370637
"RSRP1",0.242248929528504
"RHD",0.514067978057639
"TMEM50A",0.367582319973172
"RHCE",0.22924426622133
"MACO1",0.566118340488405
"LDLRAP1",0.564555683589516
"MAN1C1",0.560392044785681
"SELENON",0.333072596340981
"MTFR1L",0.358680831846626
"AUNIP",0.153282379697486
"PAQR7",0.649803397944929
"STMN1",0.588830490531137
"PAFAH2",0.236185485476299
"EXTL1",0.628729222466937
"SLC30A2",0.841674428578475
"TRIM63",0.747839040462094
"PDIK1L",0.47009521962338
"FAM110D",0.397527221848528
"C1orf232",-0.0143230715515883
"ZNF593",0.222802369031411
"CNKSR1",0.851165434934196
"CATSPER4",0.604518997144082
"CEP85",0.29079666878588
"SH3BGRL3",0.444303798485964
"UBXN11",0.228041650003212
"CD52",0.396178357793277
"CRYBG2",0.795017383319288
"ZNF683",0.267187100330899
"LIN28A",0.0348113617848316
"DHDDS",0.128741147260762
"HMGN2",0.372796260342566
"RPS6KA1",0.725688336518021
"ARID1A",0.223705437607684
"PIGV",0.0638986756527739
"ZDHHC18",0.524889793323043
"SFN",0.60648154766328
"GPN2",0.274648074228692
"GPATCH3",0.279524505176619
"NUDC",0.136233604110339
"NR0B2",0.704902705391096
"KDF1",0.601660621573233
"TRNP1",0.582155089549945
"TENT5B",0.37247888751672
"SLC9A1",0.685472731152847
"WDTC1",-0.0873340682231289
"TMEM222",-0.169687733459197
"SYTL1",0.709783122123583
"MAP3K6",0.613119529975385
"FCN3",0.0564866711581359
"CD164L2",0.459297661917293
"GPR3",0.334724425939327
"WASF2",0.286758976057488
"AHDC1",0.663809428292731
"FGR",0.501911042395313
"LINC02574",-0.0220437266852638
"IFI6",0.525925810672022
"FAM76A",0.167792007865746
"STX12",0.410590971285264
"PPP1R8",0.164748913885893
"THEMIS2",0.827514957104835
"RPA2",0.267919581417342
"SMPDL3B",0.368935334011347
"XKR8",0.247581330488288
"EYA3",0.267739735009356
"PTAFR",0.234478092262338
"DNAJC8",0.0651693815777062
"ATP5IF1",0.101544170781752
"SESN2",0.176032309165139
"MED18",0.242225867496473
"PHACTR4",0.119290560837378
"RCC1",0.151505814259008
"SNHG3",-0.0862538310533829
"TRNAU1AP",0.31587916664096
"SNHG12",0.362027896373004
"TAF12",0.000642784744161254
"RAB42",0.556857547214353
"LINC01715",0.222144664941448
"GMEB1",0.121167724633359
"YTHDF2",0.216972781855014
"OPRD1",0.146682389683304
"EPB41",0.638943184966779
"TMEM200B",0.485821179840318
"SRSF4",0.21671273418279
"MECR",0.203495351349569
"PTPRU",0.568286868478399
"LINC01756",0.176254264792737
"LINC01648",0.349938890406461
"MATN1",0.155612054344426
"MATN1-AS1",-0.0204218954578291
"LAPTM5",0.733901048738942
"LINC01778",0.216255268456021
"SDC3",0.577392718626865
"PUM1",0.141252324516974
"NKAIN1",0.758677584348545
"SNRNP40",0.0912095778926416
"ZCCHC17",0.151038669081643
"FABP3",0.39509509624145
"SERINC2",0.579146951670035
"LINC01226",0.480306086863443
"TINAGL1",0.698543403849319
"HCRTR1",0.483642355354678
"PEF1",0.385237331605199
"COL16A1",0.714948808039868
"ADGRB2",0.253326669910038
"SPOCD1",0.10836614937745
"PTP4A2",0.32148937851045
"KHDRBS1",0.246707886840151
"TMEM39B",0.118747751986818
"KPNA6",-0.00905195797455437
"TXLNA",0.210122798566426
"CCDC28B",0.31290146607122
"IQCC",0.295697779638762
"DCDC2B",0.192802763503232
"TMEM234",0.142492877576001
"EIF3I",0.0794253186515716
"FAM167B",0.562712422042776
"LCK",0.344263498061626
"HDAC1",0.547275950848953
"MARCKSL1",0.551451373034415
"TSSK3",0.254640562494862
"FAM229A",0.296066835567659
"BSDC1",0.219956574745129
"ZBTB8B",0.408049424272216
"ZBTB8A",0.390711610731362
"ZBTB8OS",-0.00297582431654334
"RBBP4",0.0719474571255547
"SYNC",0.3594521380114
"KIAA1522",0.779405133614325
"S100PBP",-0.0143444437839675
"FNDC5",0.531867725077777
"HPCA",0.32304158155492
"TMEM54",0.701664850140529
"RNF19B",0.422573826686784
"AK2",0.467830297387417
"AZIN2",0.401870999177495
"TRIM62",0.484261259906156
"ZNF362",0.1461290106825
"A3GALT2",0.422339861693617
"PHC2",0.362854276340267
"ZSCAN20",0.166082760447036
"CSMD2",0.776766009156699
"HMGB4",0.323910417261743
"CSMD2-AS1",0.176191424113365
"C1orf94",0.393241254043049
"SMIM12",0.364780198460034
"GJB5",0.676456467414913
"GJB4",0.662033032469073
"GJB3",0.279469032470149
"GJA4",0.710229768659594
"DLGAP3",0.0576362760275721
"TMEM35B",0.0977752614788746
"ZMYM6",-0.0668903672006377
"ZMYM1",0.26243368607354
"SFPQ",-0.0302021492220841
"ZMYM4",0.206298834231228
"ZMYM4-AS1",-0.193228450926014
"KIAA0319L",0.182017996986496
"NCDN",-0.0837000202683109
"TFAP2E",0.247976552167106
"PSMB2",-0.00587033816456111
"C1orf216",0.368887596012471
"CLSPN",0.171412562958338
"AGO4",0.415710219784781
"AGO1",0.183227336938563
"AGO3",0.273907416063046
"TEKT2",0.658521682143776
"COL8A2",0.306588234466242
"TRAPPC3",0.0622232711506649
"MAP7D1",0.514403307198099
"THRAP3",0.274465064565114
"SH3D21",0.581598970375519
"EVA1B",0.667488638552261
"STK40",0.331419897862761
"LSM10",0.205147145315718
"OSCP1",0.368788027232226
"MRPS15",0.282988065243944
"CSF3R",0.824406386232381
"GRIK3",0.17957494006093
"LINC01137",0.314775671197393
"ZC3H12A",0.480355518343747
"MEAF6",-0.159767480426999
"SNIP1",0.250337329052665
"DNALI1",0.00941974691010453
"GNL2",0.163975330442631
"RSPO1",0.706561339789808
"C1orf109",0.212445611972299
"CDCA8",0.169408805807391
"EPHA10",0.842198691817491
"MANEAL",0.342724028761461
"YRDC",-0.265691258858541
"C1orf122",-0.110380480472001
"MTF1",0.0775144893372035
"INPP5B",0.196026685225257
"SF3A3",0.418982001971364
"FHL3",0.854444840904861
"UTP11",0.644519997747752
"POU3F1",0.446253339044568
"MIR3659HG",0.432727319929937
"LINC01343",0.573502922706365
"LINC01685",0.100442967224771
"RRAGC",0.134875933251388
"MYCBP",0.172392821696732
"GJA9",0.393826799509857
"RHBDL2",0.615389239520541
"AKIRIN1",0.242149917934039
"NDUFS5",0.0372492339150755
"MACF1",0.16079614354981
"BMP8A",0.368084104147528
"PABPC4",0.183510060989605
