"gene","CLIC_score"
"PLCXD1",0.55251423333314
"GTPBP6",0.150291374570205
"PPP2R3B",0.601058186625503
"SHOX",0.286043242357595
"CRLF2",0.520634046044843
"CSF2RA",0.893179216520154
"IL3RA",0.4390630453308
"SLC25A6",0.153443806280938
"ASMTL",0.0796738808790058
"P2RY8",0.788701934823973
"AKAP17A",0.456676578112162
"ASMT",0.207854505896078
"DHRSX",0.299637473117523
"ZBED1",0.282901506990682
"CD99",0.612423536219424
"XG",0.444232407377808
"GYG2",0.642203960448
"ARSD",0.718713585660579
"ARSE",0.71030393157725
"ARSH",0.106790340829616
"ARSF",0.14285121304358
"MXRA5",0.593233808723384
"PRKX",0.771177898042092
"NLGN4X",0.573790268270756
"VCX3A",0.733898008984841
"PUDP",0.636135677994632
"STS",0.36161487252954
"VCX",0.674110731258802
"PNPLA4",0.283415729807091
"VCX2",0.804472711903381
"VCX3B",0.582428683496305
"ANOS1",0.582974542734309
"FAM9A",0.339856702661634
"FAM9B",0.184619207328186
"TBL1X",0.462658973148624
"GPR143",0.33147833686408
"SHROOM2",0.624047719989392
"CLDN34",0.371985567742865
"WWC3",0.66463600925028
"CLCN4",0.462321606938338
"MID1",0.564820188352307
"HCCS",0.298506315566112
"AMELX",0.117969590668355
"MSL3",0.359427967738579
"PRPS2",0.594322365940953
"TLR7",0.582427859480956
"TLR8",0.350703111251103
"TMSB4X",0.475486947686028
"FAM9C",0.0922101024070502
"ATXN3L",0.0910405969167676
"EGFL6",0.222225884669633
"TCEANC",0.0460887261702561
"RAB9A",0.413711022285241
"TRAPPC2",0.409049393116756
"OFD1",0.529309038057117
"GPM6B",0.780967301280298
"GEMIN8",0.43862001383857
"GLRA2",0.0796842574984453
"FANCB",0.181252504256703
"MOSPD2",0.349965476763926
"ASB9",0.432295475323076
"ASB11",0.544364950437789
"PIGA",0.362609607878859
"VEGFD",0.389173932727333
"PIR",0.530365529309364
"BMX",0.505716422760194
"ACE2",0.39989870688862
"CA5B",0.478244115105262
"ZRSR2",0.638208053246682
"AP1S2",0.429399781601507
"GRPR",0.603695771496571
"MAGEB17",0.0744802073147507
"CTPS2",0.327165341195262
"S100G",0.374946463460746
"SYAP1",0.546947009319936
"TXLNG",0.627390761999996
"RBBP7",0.569887318461395
"REPS2",0.589654081289536
"NHS",0.692724235468125
"SCML1",0.442438294928613
"RAI2",0.698653533788962
"BEND2",0.267236862744184
"SCML2",0.306749680049611
