"gene","CLIC_score"
"Hnf4g",0.182008407982532
"Zfhx4",0.88217074106233
"Pex2",0.808740407692546
"1700008P02Rik",0.26978496874903
"Pkia",0.91963595238042
"Zc2hc1a",0.797881725407678
"Il7",0.86538869901921
"1700010I02Rik",-0.0302034683834181
"Stmn2",0.877288784939719
"Hey1",0.776233675186653
"Mrps28",0.0692684614362997
"Tpd52",0.869505862750927
"Zbtb10",0.790192361238244
"Zfp704",0.734363615577111
"Pag1",0.880362576502847
"Fabp5",0.654215033182797
"Gm9833",0.081130091854965
"Pmp2",0.769925021518828
"Fabp9",0.78593290304567
"Fabp4",0.810869000747861
"Fabp12",-0.0499650255969448
"Impa1",0.704107477816585
"Slc10a5",0.828152493474092
"Zfand1",-0.105223296264621
"Chmp4c",0.401638059816698
"Snx16",0.491991387982047
"Ralyl",0.921487856117339
"Slc7a12",0.105313154365584
"Lrrcc1",0.514668987353969
"E2f5",0.361448649558349
"Car13",0.791660345295732
"Car1",0.0681923973515642
"Car3",0.722061302862095
"Car2",0.805509623982499
"Gm9733",0.702822538147443
"Sirpb1a",0.674718853630361
"Sirpb1b",0.663956914997411
"Sirpb1c",0.777796005579172
"Gm5150",0.675303577263633
"Ythdf3",0.526635200250926
"Cypt12",0.463253781296929
"Bhlhe22",0.727195548005493
"Cyp7b1",0.855387724447422
"Armc1",0.367501972325463
"Mtfr1",0.927993427178041
"Pde7a",0.877504262755497
"Dnajc5b",0.228602040200979
"1700064H15Rik",-0.0912580727792084
"Trim55",0.933336541743262
"Crh",0.2916206773032
"Cp",0.864414699388278
"Hps3",0.891601316512122
"Hltf",0.499967051101603
"Gyg",0.840932545927786
"Cpa3",0.0433473534274754
"Cpb1",0.833529524854411
"Agtr1b",0.842018333472613
"Tbl1xr1",0.884665840476144
"Spata16",0.552738475925087
"Ect2",0.706616515550267
"Nceh1",0.677463032454653
"Tnfsf10",0.895745569428804
"Ghsr",0.596186839755805
"Fndc3b",0.937584605259936
"Tmem212",0.209868286494306
"Pld1",0.937719843704501
"Tnik",0.931329894098389
"Slc2a2",0.880173818739841
"Eif5a2",0.548212886704294
"Rpl22l1",0.284227007274316
"Gm1527",0.0625652549452864
"Actrt3",0.248552286316176
"Mynn",0.284579327840939
"Lrrc34",0.390812129520675
"Lrriq4",0.122093734038802
"Lrrc31",0.56810457529649
"Samd7",0.35452677574279
"Sec62",0.157975994194457
"Gpr160",0.908148467628398
"Phc3",0.465810310600223
"Prkci",0.699641408847254
"Skil",0.551726909138266
"Cldn11",0.874643647950501
"Slc7a14",0.847250216094226
"Kcnmb2",0.907590957672781
"Zmat3",0.81979454418522
"Pik3ca",0.835080699393272
"Kcnmb3",0.453394833641217
"Zfp639",0.301124147630499
"Mfn1",0.779211427155341
"Gnb4",0.834396181338575
"Actl6a",0.503384259735954
"Mrpl47",0.693003726335147
"Ndufb5",0.210540664558375
"Usp13",0.874573855019988
"Pex5l",0.962001496390407
"Ttc14",-0.00766279396387407
"Ccdc39",0.844444568589318
"Fxr1",0.804717598620112
"Dnajc19",0.110130009092006
"Sox2",0.855081653443252
"Atp11b",0.790988247892482
"Dcun1d1",0.760150624021812
"Mccc1",0.662472239050146
"Ccdc144b",0.59533915657317
"Acad9",0.188587321201105
"Qrfpr",0.680628764125076
"Anxa5",0.902641677278992
"1810062G17Rik",0.608335006948531
"Exosc9",0.182929409633927
"Ccna2",0.690815116821045
"Bbs7",0.675171811143133
"Trpc3",0.90790782236632
"4932438A13Rik",0.668982760570067
"Adad1",-0.00297568491961746
"Il2",0.263362550121391
"Il21",0.585214140860701
"Cetn4",0.369985595502995
"Fgf2",0.895862367155485
"Bbs12",0.353350403251148
"Nudt6",0.381884000352157
"Spata5",0.215482315988708
"Spry1",0.849657677639843
"Gm5148",0.35833392844989
"Ankrd50",0.849003089810337
"Fat4",0.794811859048248
"Intu",0.825347217585763
"Slc25a31",0.0542559785236516
"Hspa4l",0.741869360079068
"Plk4",0.366812253425729
"Mfsd8",0.301723580247246
"1700034I23Rik",0.579129272978392
"Larp1b",0.88219196707588
"Pgrmc2",0.189027505228271
"Jade1",0.565804632178287
"Sclt1",0.736346246155892
"D3Ertd751e",0.0710581421887702
"Pcdh10",0.947894289609322
"Pabpc4l",0.747721286637765
"Pcdh18",0.861221170871353
"Elf2",0.959335215335356
"Mgarp",0.831298853758524
"Ndufc1",0.479009615665866
"Naa15",0.610940095508143
"Rab33b",0.442018307159812
"Setd7",0.798685098809941
"Mgst2",0.659645249935228
"Maml3",0.849859015946904
"Foxo1",0.914968946267062
"Cog6",0.534271485548904
"Lhfp",0.941547434873497
"Nhlrc3",0.69211768908075
"Proser1",0.284174491331509
"Stoml3",0.141900644203708
"Frem2",0.709466173149574
"Gm10985",0.381666413693767
"Ufm1",-0.0317346068709744
"Trpc4",0.957957943260271
"Postn",0.79356605379146
"Supt20",0.312221632829675
"Gm21958",0.215576695277345
"Exosc8",0.394129262156491
"Alg5",0.351605093941888
"Smad9",0.883087411317302
"Rfxap",0.0490434097083836
"Sertm1",0.895553972287147
"Ccna1",0.177236830603221
"Spg20",0.758426075467731
"Ccdc169",0.354757413923459
"Sohlh2",0.232280216851688
"Dclk1",0.930279276958563
"Gm21954",0.92717295075196
"Mab21l1",0.619239558423073
"Tm4sf1",0.89525844082351
"Tm4sf4",0.354599118455442
"Wwtr1",0.95185565757938
"Commd2",0.11573145646078
"Ankub1",0.686745439888416
"Rnf13",0.791867090448057
"Pfn2",0.645015238430374
"Tsc22d2",0.52960154258333
"Serp1",0.461320126498235
"Eif2a",0.206706296586725
"Erich6",0.237126344351867
"Siah2",0.560692727615897
"Clrn1",0.696737890394011
"Med12l",0.770770255727071
"Gpr171",0.731955261582278
"P2ry14",0.502293593175952
"Gpr87",0.130037138337108
"P2ry13",0.855771137248167
"P2ry12",0.905537769728285
"Igsf10",0.695452575933467
"Gm5538",0.3952375609733
"Gm8298",0.0650629137956312
"C130079G13Rik",0.0877796716444726
"Aadacl2",0.048226649703666
"Aadac",0.796279410482262
"Sucnr1",0.310194186315907
"Mbnl1",0.940485299296404
"P2ry1",0.751579272134291
"Rap2b",0.510189213711235
"B430305J03Rik",0.348196030802773
"Arhgef26",0.871084945217319
"Dhx36",0.237586565781861
"Gpr149",0.608074227358241
"Mme",0.761252880123623
"Plch1",0.687943954284536
"E130311K13Rik",0.013519525843857
"Slc33a1",0.469506162814785
"Gmps",0.228428903373326
"Vmn2r1",0.817281069896197
"Vmn2r2",0.889391702428481
"Vmn2r3",0.159192504862046
"Vmn2r4",-0.0647640172007035
"Vmn2r5",0.0603333552604202
"Vmn2r6",0.188082629631968
"Vmn2r7",0.26488071591331
"Kcnab1",0.834911474775229
"Ssr3",0.555439654257786
"Tiparp",0.790972782757446
"Lekr1",0.562888710011492
"Ccnl1",0.795869650700659
"Veph1",0.452705608217292
"Ptx3",0.741742430501959
"Shox2",0.779180844716166
"Rsrc1",0.197061039706113
"Gm17402",0.702678046849267
"Mlf1",0.852836540396466
"Gfm1",0.106001630067914
"Lxn",0.597452673017533
"Rarres1",0.648030593916248
"Mfsd1",0.696870889777812
"Il12a",0.731635207750653
"1110032F04Rik",0.552075063917484
"Ift80",0.607596082974466
"Smc4",0.914938368707695
"Trim59",0.745033431852763
"Kpna4",0.745072480717715
"Gm1647",0.0875478947753904
"Arl14",0.126295737322736
"Ppm1l",0.908239277874276
"B3galnt1",0.906963594367528
"Nmd3",0.744608717349134
"Sptssb",0.805065161369335
"Otol1",0.0991652352745084
"Sis",0.202050341418577
"Slitrk3",0.941780146469667
"Bche",0.892099833449102
"Zbbx",0.708245007561112
"Serpini2",0.0868526032278209
"Pdcd10",0.679209051696105
"Serpini1",0.873106644853917
"Golim4",0.724061290243139
"Rapgef2",0.859275064469477
"Gm17359",0.192967574597454
"Fnip2",0.868869376442279
"Ppid",0.377771737050209
"Etfdh",0.574494742684784
"4930579G24Rik",0.313231420984547
"Rxfp1",0.78933004629432
"Tmem144",0.491543713051339
"Gria2",0.951354954420417
"Glrb",0.962761079539842
"Pdgfc",0.839774107187594
"Ctso",0.696501847614113
"Tdo2",0.760592041942956
"Asic5",0.617418443601359
"Map9",0.879402780875477
"Npy2r",0.854252431519395
"Rbm46",0.66049234033208
"Lrat",0.28387050747172
"Fgg",0.968942679881197
"Fga",0.698299923993818
"Fgb",0.950038864001681
"Plrg1",0.278394828408844
"Dchs2",0.658030110260212
"Sfrp2",0.667739110364659
"Tlr2",0.828648679325384
"Mnd1",0.748412660958672
"Trim2",0.932073066311847
"Fhdc1",0.801312402836175
"Arfip1",0.615747088199038
"Tigd4",0.588820442135682
"Tmem154",0.605739889080289
"Fbxw7",0.712015544651343
"Gatb",0.269266645883343
"Fam160a1",0.741067287178691
"Glt28d2",0.915004263256965
"Sh3d19",0.900690446573776
"Prss48",0.567429043404034
"Rps3a1",0.384593864981305
"Mab21l2",0.836920045958972
"Dclk2",0.932646623612068
"Cd1d1",0.772643321816841
"Kirrel",0.921181529677947
"Fcrls",0.979535820900886
"Cd5l",0.432285668243397
"Fcrl1",0.911709085382648
"Fcrl5",0.592800422000469
"Etv3",0.710263512983441
"Arhgef11",0.467264886375319
"Lrrc71",0.414439280225224
"Pear1",0.850269827566627
"Ntrk1",0.568498222880399
"Insrr",0.492570465933342
"Sh2d2a",0.629348963784932
"Prcc",0.491980223557218
"Hdgf",0.385856292823184
"Mrpl24",0.310732346206359
"Rrnad1",-0.134594813999643
"Isg20l2",-0.446423142360652
"Crabp2",0.681730054198085
"Nes",0.747075886828262
"Bcan",0.942984079747831
"Hapln2",0.807257402829379
"Gpatch4",0.273366471679885
"Ttc24",-0.0882514472496037
"Iqgap3",0.473430218534176
"Mef2d",0.840234479862397
"Rhbg",0.201996319577879
"Tsacc",0.131585388636409
"Cct3",-0.284928471937282
"Glmp",0.548759517328554
"Tmem79",0.45883676415792
"Smg5",0.361916930791671
"Paqr6",0.829362954255809
"Bglap3",0.195543050327836
"Bglap2",0.526663934452223
"Bglap",0.375651948812918
"Pmf1",0.648522003180059
"Slc25a44",0.583163818309688
"Sema4a",0.735077094188783
"Lmna",0.862909558112554
"Mex3a",0.468234096680217
"Rab25",0.138499937606787
"Lamtor2",0.173023574297821
"Ubqln4",0.381695491349108
"Ssr2",0.18483695722087
"Arhgef2",0.858746805467242
"Rxfp4",0.0780192287262639
"Rit1",0.577363418197224
"Syt11",0.856034930531694
"Gon4l",0.299555102143176
"Msto1",-0.0147745227276783
"Dap3",0.504257269045065
"Ash1l",-0.0272896754134199
"Rusc1",0.570748409744477
"Fdps",0.619761949112922
"Pklr",0.823965166743304
"Hcn3",0.78154592815777
"Clk2",0.634700126886603
"Scamp3",0.291597512355796
"Fam189b",0.61934180277564
"Gba",0.113429379113701
"Mtx1",0.0771893445714299
"Thbs3",0.710895941149248
"Muc1",-0.0550027237056008
"Trim46",0.891396807374793
"Krtcap2",-0.105281451553974
"Dpm3",0.155124766117047
"Slc50a1",0.350888543131318
"Efna1",0.90639681602573
"Efna3",0.675321565730883
"Efna4",0.392355863484597
"Adam15",0.843760397089006
"Dcst1",0.611237971844889
"Zbtb7b",0.817320284893125
"Lenep",0.282799148929398
"Flad1",0.660764015859901
"Cks1b",0.589259161681512
"Shc1",0.807134427703974
"Pygo2",0.334659290049568
"Pbxip1",0.841663467668013
"Pmvk",0.393802769419553
"Kcnn3",0.868679539315191
"Adar",0.918137497447728
"Chrnb2",0.831183554469717
"4632404H12Rik",-0.184258386632404
"Ube2q1",0.384579011099509
"She",0.940887421666676
"Il6ra",0.85128216304023
"Atp8b2",0.747353914828269
"Hax1",0.428285864057724
"Ubap2l",0.484500000390706
"4933434E20Rik",0.330026970353664
"Tpm3",0.86490862575356
"Nup210l",0.484065776324151
"Rps27",0.524402543231006
"Rab13",0.602016169276439
"Jtb",0.366363653025986
"Creb3l4",0.244932716729333
"Slc39a1",0.767914336990695
"Crtc2",0.411566833754794
"Dennd4b",0.632051838011162
"Gatad2b",0.285356876501346
"Slc27a3",0.792335961815715
"Ints3",0.708865915245537
"Npr1",0.91830861628303
"Ilf2",0.289895449721502
"Snapin",0.535830338106342
"Chtop",0.601507667784918
"S100a1",0.673902989884149
"S100a13",0.756529014193633
"S100a14",0.574139542057207
"S100a16",0.896753195445844
"S100a2",0.108049900774101
"S100a3",0.147867814688222
"S100a4",0.637327164651516
"S100a5",0.223397705675472
"S100a6",0.765277543349686
"S100a7a",0.35361432520191
"S100a8",0.139842225704503
"S100a9",0.254509787751448
"Pglyrp4",-0.0531067631525069
"Gm5849",0.935154673293459
"9130204L05Rik",0.290651131660089
"Pglyrp3",0.2006787279617
"Lor",0.266542795661063
"Prr9",0.175399854957602
"Lelp1",0.0718230873995324
"Sprr2a1",0.965103006976089
"Sprr2a2",0.509590067853162
"Sprr2a3",0.634220252208876
"Sprr2b",0.459037357731059
"Sprr2d",-0.0348246018771629
